,title,author,summary,category,word_count,age_cat,num_views,num_fav,publication_date,tags,url,download_link
10,Stone Predator,Kennedy Harkins,"Vivica Khan is a doctor at the hospital located in Eastmoor, the hot spot for supernatural beings. For the most part they leave her be, except for a sexy, temperamental Alpha and his pack of werewolves. She’s determined to just ignore their presence and do what she came to Eastmoor to do; work. But now that her coworkers are disappearing, she finds herself in need of help from the things she tried so desperately to avoid.",Fantasy,22699 Words,Ages 0 and up,9683,458,07-07-2011,"{'Vampire', 'Hospital', 'Supernatural', 'Curse', 'Werewolf', 'Stone'}",https://www.bookrix.com/_ebook-kennedy-harkins-stone-predator/,https://www.bookrix.com/Books/Download.html?bookID=kharkins16_1310093766.5192749500&format=epub
11,THE PACK!,Shannon Coots,Warning very x-rated but not all about sex alot more!!!,Fantasy,681 Words,Ages 0 and up,8587,118,09-06-2011,"{'cop', 'sex.', 'mate', 'werewolf', 'pack', 'mates', 'werewolves'}",https://www.bookrix.com/_ebook-shannon-coots-the-pack/,https://www.bookrix.com/Books/Download.html?bookID=babyluv_1315334778.2739241123&format=epub
12,Pokemon- Sinnoh Adventures Book 1,Elysia,,Fantasy,1 Words,Ages 0 and up,7967,29,06-16-2011,{'pokemon'},https://www.bookrix.com/_ebook-elysia-pokemon-sinnoh-adventures-book-1/,https://www.bookrix.com/Books/Download.html?bookID=elys411_1308255855.8545548916&format=epub
13,Broken Halo,Ispeak Woods,"Looking back at my life I now see how foolish I was. I'm where I am now because of the choices I've made, and the man I choose to love. Rejection and murder are the least of my worries. My family has deep dark secrets. Sex, Lies and secrets are all I know. What do you do when living in the comfort of a lie is better then confronting the truth. Some times the truth can set you free. Or it can kill you.",Fantasy,29140 Words,Ages 14 and up,7333,226,01-22-2012,{'Werewolf love mate rejection murder lies sex werewolves pack beta alpha male'},https://www.bookrix.com/_ebook-ispeak-woods-broken-halo/,
14,twilight,vampirediaries,twilight comic with bella and edward,Fantasy,2 Words,Ages 0 and up,7194,89,07-23-2010,"{'bella', 'edward'}",https://www.bookrix.com/_ebook-vampirediaries-twilight-1/,https://www.bookrix.com/Books/Download.html?bookID=vampirediaries_1279924130.7141048908&format=epub
15,Strachana,Judy Colella,"They walk among us unseen, unrecognized. They look like us, speak like us, but are not us. Aliens from another planet, then? Ghosts? Inter-dimensional beings? No.

Dragons.",Fantasy,26318 Words,Ages 0 and up,7068,150,08-29-2012,"{'Darastrix', 'dragon-lore', 'shape-shift'}",https://www.bookrix.com/_ebook-judy-colella-strachana/,
16,Hiding In The Harem,Ann Poppet,Miaya was beside her self with anger. Her parents had married her off to a sheik. She has moved into his palace but he had yet to meet her..Nor does he know that she is there....Hidden in his Harem.,Fantasy,570 Words,Ages 16 and up,7040,73,05-29-2011,"{'sex', 'fantasy', 'harem'}",https://www.bookrix.com/_ebook-ann-poppet-hiding-in-the-harem/,https://www.bookrix.com/Books/Download.html?bookID=special.2_1306723411.9581360817&format=epub
17,The Vampire Prince,Lissie,"Since they were twelve, twin girls have been watched by a stranger on their street. As they grow up, he doesn't change at all. He has black eyes and he never moves. He watches the delicate twin more closely than the strong one and returns every year on their birthday to look at them again. Their brother doesn't know, their unforgiving parents don't know, nobody knows about him. And then the twins turn eighteen, and he's there when they come out of school. What does he want, they ask him. He is come to claim one as his bride.",Fantasy,33970 Words,Ages 0 and up,6623,192,10-12-2011,{'vampire prince realm twins girls elara cleo jayce talor brothers immortal... Show more'},https://www.bookrix.com/_ebook-lissie-the-vampire-prince/,https://www.bookrix.com/Books/Download.html?bookID=lissie_1318457787.9923880100&format=epub
18,shh...dont tell,louise stephenson,"seth and luke are new hotties at
richland high and both love playing
with there preys/girls hearts but it
doesnt go so well for seth when he meets
maya. its not going to work cause shes
human and hese not and his brothers going
to make sure they dont get together!",Fantasy,6728 Words,Ages 0 and up,6511,389,04-24-2010,,https://www.bookrix.com/_ebook-louise-stephenson-shh-dont-tell/,https://www.bookrix.com/Books/Download.html?bookID=loulou.babii_1272164164.9610750675&format=epub
19,Embraced by a Heartless Mate,Ceferine Young,"Maya is a werewolf. On her vacation with her sisters to London, she was abducted by a pack of werewolves who mistook her for a rogue. She was tortured and bound by silver chains, making it impossible for her to shift to her wolf form. Then the Alpha arrived. What happens when the alpha of the pack who abducted her is her mate?



“You’re m—“
“Yes, Love, I’m your mate.” He cut in and smiled, his eyes turning from black to beautiful emerald green.

And there… the worst day turned out to be the best day of my life—or so I thought.",Fantasy,6184 Words,Ages 14 and up,6196,162,01-25-2014,"{'love', 'mate', 'rogues', 'hate', 'romance', 'attraction', 'werewolves'}",https://www.bookrix.com/_ebook-ceferine-young-embraced-by-a-heartless-mate-1/,https://www.bookrix.com/Books/Download.html?bookID=gja1d158da53e25_1390653051.1274449825&format=epub
20,Demon Girl,Penelope Fletcher,"Rae Wilder Novels: Book One.

Rae Wilder has problems. Supernatural creatures swarm the earth, and humanity is on the brink of extinction. Stalked by a handsome fairy who claims she is like him, demonkind, Rae thinks maybe it was a mistake breaking the rules by going over the Wall into demon territory. Plunged into a world of dark magics, fierce creatures, and ritual sacrifice, she is charged with a guarding a magical amulet. The changes to her mind and body are startling, but rather than accept her purpose she struggles against who she is destined to be. Throw in a big lust for a vampire who can't keep his hands off her, and life starts to get complicated. Rae is forced to make the ultimate choice: to live and die human, or embrace her birth-right and wield magics that could turn her into something wicked, a force of nature nothing can control.

Young Adult: British English (BrE)",Fantasy,2 Words,Ages 0 and up,6182,362,11-06-2010,"{'Shifter', 'Paranormal', 'Urban', 'Fantasy', 'Vampire', 'Witch', 'Magic', 'Fairy', 'Goblin,... Show more'}",https://www.bookrix.com/_ebook-penelope-fletcher-demon-girl/,https://www.bookrix.com/Books/Download.html?bookID=missfletcher_1289033595.0327520370&format=epub
21,Werewolf Academy,Lollie Ermas,"Madison white is a beautiful badass she-wolf her father is alpha and she'll soon be alpha if she doesn't find her mate before she is 18 she'll lead the pack alone madison have been kicked out of 3 schools in the last 2 years of her life because she is known as a ""troublemaker"" and a girl who says it like it is she wants to be respected RIP to the people who dare to disrespect her when she was expelled from a 4th school her parents decided to send her to a werewolf school where they think she'll fit in better
Will Madison get into trouble at her 5th highschool?
Madison have no intention what so ever in finding her mate all she wants to do is finish school turn 18 and be a good alpha for her pack
she doesn't want to find her mate and let him be alpha of her pack she believes she's worked too hard her entire life to be a strong leader/fighter. What will happen if she meets oh so hot and popular Tyler McLeod and finds out he is her mate?
bad guy meets bad girl? W
hat will happen when this hot guy is already alpha of his own pack
will she reject him and lead her pack alone?
will she leave her pack and be luna for her mate's pack?
will she ever accept Tyler?
Will they ever find happiness?
And what about their girlfriend and boyfriend??
Oh yeah they are BOTH in a relationships!",Fantasy,12095 Words,Ages 0 and up,6007,149,01-20-2015,"{'Cheating', 'School', 'Love', 'Werewolves', 'Mate', 'Hate', 'secrets', 'Alphas', 'Dates', 'Jealousy'}",https://www.bookrix.com/_ebook-lollie-ermas-werewolf-academy/,https://www.bookrix.com/Books/Download.html?bookID=ssb5869b70cdb45_1421724148.7312290668&format=epub
22,A Soul Mate's Destiny,Akshara Srri,"Cassie and Derek have been best friends since childhood. Cassie secretly loves Derek, who doesn’t feel the same way. When Derek undergoes some natural changes, he comes to find that Cassie is destined to be his soul-mate, who then starts dating a vampire.

Now as destiny has chosen its path, Cassie is thrust into a world of frightening secrets, preparing herself to deal with love’s battlefield and supernatural wars…",Fantasy,5685 Words,Ages 0 and up,5968,472,05-10-2011,"{'Cassie', 'love', 'crush', 'wizards', 'vampires', 'Derek'}",https://www.bookrix.com/_ebook-akshara-srri-a-soul-mate-039-s-destiny/,https://www.bookrix.com/Books/Download.html?bookID=akshara1233_1305039300.7445108891&format=epub
23,Alpha Male,Bella Woods,"Marina Follow is a 17 year old girl forced to marry the alpha-male of her werewolf pack. She does not love him, but is soon pregnant with his baby and has to make a choice: kill the baby inside her and divorce him, or stay with him and raise the baby. What will she choose?",Fantasy,628 Words,Ages 0 and up,5846,182,07-21-2011,"{'Alpha', 'Male', 'Werewolves', 'women', 'Pack'}",https://www.bookrix.com/_ebook-bella-woods-alpha-male/,https://www.bookrix.com/Books/Download.html?bookID=bellawoods123_1311254519.5452930927&format=epub
24,The Crown Conspiracy,Michael J. Sullivan,"The Crown Conspiracy is a heroic adventure suitable for both young adult readers and general audiences and is reminiscent of Harry Potter and C.S. Lewis. The main characters are Royce Melborn, a skilled thief, and his mercenary partner, Hadrian Blackwater. The two make a profitable living carrying out dangerous assignments for conspiring nobles until they become the unwitting scapegoats in the murder of the king. Sentenced to death, they have only one way out…and so begins this epic tale of treachery and adventure, sword fighting and magic, myth and legend.

The Crown Conspiracy is book one of the multi-book saga: The Riyria Revelations. The series is told through six novels conceived as a single epic tale. Across the entire chronicle, mysteries build, characters evolve, and plots thicken, but each is self-contained and can be read independently of one another. The second book Avempartha is scheduled for release from Aspirations Media, Inc in April 2009.

Michael’s work is already receiving acclaim as The Crown Conspiracy was recognized May 30th, at the national BookExpo exposition in Los Angeles when Foreword Magazine named it a 2007 Book of the Year Finalist for fantasy and science fiction.",Fantasy,12510 Words,Ages 0 and up,5519,121,11-02-2008,"{'action', 'fantasy', 'magic', 'adventure'}",https://www.bookrix.com/_ebook-michael-j-sullivan-the-crown-conspiracy/,https://www.bookrix.com/Books/Download.html?bookID=rsullivan9597_1225625813.5365009308&format=epub
25,The Iron in Blood,Jenny Doe,"Rebecca Harding is an ordinary teenager whose DNA hides an extraordinary secret. A routine blood test after an accident turns her peaceful and rather mundane life upside-down, as she becomes the focus of three powerful brothers with exceptional skills and an age-old secret. As she begins to come to terms with her life as the world’s newest and most reluctant vampire, she is abducted, and must embrace her new powers if she has any hope of escape.",Fantasy,41121 Words,Ages 14 and up,5219,71,05-26-2013,"{'vampire', 'young adult', 'romance'}",https://www.bookrix.com/_ebook-jenny-doe-the-iron-in-blood/,https://www.bookrix.com/Books/Download.html?bookID=ev1e998c29a1a15_1369549816.0243089199&format=epub
26,Gabriel's Mate,Tina Folsom,"After Maya is turned into a vampire against her will, vampire and Scanguards bodyguard Gabriel is charged with protecting her and finding her attacker.

Gabriel has never guarded a body as perfect as Maya's. Moreover, Maya's enticing blend of vulnerability and strength is difficult to resist. Yet resist he must. Even as the sexual tension between them rises and the rogue vampire closes in on them, Gabriel refuses to give into his desire. Despite the intimacies they share, Gabriel fears that if he ever reveals himself fully to her, Maya will react like other women have, running from him, and calling him a monster, a freak, a creature not worth her love.

Will Maya prove to be the one female who cherishes all that Gabriel is?",Fantasy,5525 Words,Ages 16 and up,5047,123,07-23-2012,"{'vampire', 'love', 'vampires', 'paranormal', 'romance'}",https://www.bookrix.com/_ebook-tina-folsom-gabriel-039-s-mate/,https://www.bookrix.com/Books/Download.html?bookID=tina.folsom.com_1343050908.5287549496&format=epub
27,Marked (book 1),Kristin Cast,"The House of Night series is set in a world very much like our own, except in 16-year-old Zoey Redbird's world, vampyres have always existed. In this first book in the series, Zoey enters the House of Night, a school where, after having undergone the Change, she will train to become an adult vampire--that is, if she makes it through the Change. Not all of those who are chosen do. It's tough to begin a new life, away from her parents and friends, and on top of that, Zoey finds she is no average fledgling. She has been Marked as special by the vampyre Goddess, Nyx. But she is not the only fledgling at the House of Night with special powers. When she discovers that the leader of the Dark Daughters, the school's most elite club, is misusing her Goddess-given gifts, Zoey must look deep within herself for the courage to embrace her destiny--with a little help from her new vampyre friends.",Fantasy,82309 Words,Ages 6 and up,17210,52,10-28-2014,{'fantasy'},https://www.bookrix.com/_ebook-kristin-cast-marked-book-1/,https://www.bookrix.com/Books/Download.html?bookID=la5562d2eab6345_1414528532.5503289700&format=epub
28,Alpha Mates,Leomi Peia,"My name is Natalia Knight, Nati for short. I'm diffrent from your average pretty teenage girl. I'm a werewolf, but not just any plain werewolf but tha alpha female. I live with my younger sister Melody, and my parents. There's a new kid at school, he's my mate, he's an Alpha too, but I won't let him steal my heart. Will I?",Fantasy,2864 Words,Ages 0 and up,12825,318,12-29-2011,"{'love', 'alphas', 'denial', 'school', 'new kid', 'vamps', 'mates', 'werewolves'}",https://www.bookrix.com/_ebook-leomi-peia-alpha-mates/,https://www.bookrix.com/Books/Download.html?bookID=lay.layome_1325194944.9743831158&format=epub
29,Vampire love story,Miss Riddle,"Aren't you tired about always reading the same old Vampire story?
Well this one is completely different! You'll be suprised. It sure isn't what you expected...",Fantasy,5994 Words,Ages 0 and up,12621,321,07-12-2010,"{'different', 'Vampire', 'love'}",https://www.bookrix.com/_ebook-miss-riddle-vampire-love-story-1/,https://www.bookrix.com/Books/Download.html?bookID=missriddle_1278919873.3765170574&format=epub
30,Dreams of Shadows,Patrick Sean Lee,"Christmastime, 2017.

With a sudden, nuclear-like flash of light, the population of the planet is decimated. Every living human, save one Amelia McDougal--a 15 year old girl living in Marysville, California--has perished. Or so the young girl thinks until she meets Munster Gardella, a devil-may-care boy her age.
  Their days are filled with scavenging, wandering through the small neighborhood they once called home, and wondering what happened that caused the calamity. They get their first clue when a strange, ominous, vapor-like being emerges from the shadows near a now-deceased friend's home, and then pursues them.
  Taking refuge inside a church rectory, Amelia and Munster discover two other survivors—a black brother and sister hiding inside a closet. And then two grisly-looking adults bent on doing them harm. Munster rescues the three young would-be victims, and fearing more of the same in the city, they strike out in search of safety elsewhere.
  The four kids stumble upon a huge house set back in an orchard, miles south of the city limits, and there Munster sees a flash of light from a window. Friend or foe? Munster decides to investigate, and that is when the nature and meaning of what happened to the planet begins to unfold in the terrifying, yet oddly promising days and events that follow.
  Note: It is March 1, 2017. The final draft is complete.",Fantasy,66371 Words,Ages 0 and up,12166,93,12-26-2013,"{'alien invasion,... Show more', 'future', 'action-adventure', 'Teen Survival', 'Post-Apocalyptic'}",https://www.bookrix.com/_ebook-patrick-sean-lee-dreams-of-shadows/,
31,Forbidden Love,D M Broadfield,"PLEASE NOTE , NOT COMPLETED WORKS, WILL UPDATE CHAPTERS WHEN I CAN
Port Townsend is the new safe haven for Immortals and were beasts , Carrie-Ann (immortal vampire) moves with her family to Port Townsend ,where she meets Yas (werewolf).....",Fantasy,28332 Words,Ages 0 and up,10573,897,03-25-2010,"{'vampire', 'love', 'death', 'romance', 'were beasts'}",https://www.bookrix.com/_ebook-d-m-broadfield-forbidden-love/,https://www.bookrix.com/Books/Download.html?bookID=annodb_1269535650.6150770187&format=epub
32,Those Who Cannot Die,Levi Bible,"Book 1 of ""Those Who Cannot Die"", this book follows the adventures of the Immortal group's second in command, Isaac, as he discovers the weakness of mortals firsthand...",Fantasy,20046 Words,Ages 0 and up,10502,288,01-11-2010,"{'Immortals', 'Dark Fiction', 'Fantasy', 'Death'}",https://www.bookrix.com/_ebook-levi-bible-those-who-cannot-die/,https://www.bookrix.com/Books/Download.html?bookID=terrorofdeathdgx_1263256398.6364040375&format=epub
33,Stone Predator,Kennedy Harkins,"Vivica Khan is a doctor at the hospital located in Eastmoor, the hot spot for supernatural beings. For the most part they leave her be, except for a sexy, temperamental Alpha and his pack of werewolves. She’s determined to just ignore their presence and do what she came to Eastmoor to do; work. But now that her coworkers are disappearing, she finds herself in need of help from the things she tried so desperately to avoid.",Fantasy,22699 Words,Ages 0 and up,9683,458,07-07-2011,"{'Vampire', 'Hospital', 'Supernatural', 'Curse', 'Werewolf', 'Stone'}",https://www.bookrix.com/_ebook-kennedy-harkins-stone-predator/,https://www.bookrix.com/Books/Download.html?bookID=kharkins16_1310093766.5192749500&format=epub
34,THE PACK!,Shannon Coots,Warning very x-rated but not all about sex alot more!!!,Fantasy,681 Words,Ages 0 and up,8587,118,09-06-2011,"{'cop', 'sex.', 'mate', 'werewolf', 'pack', 'mates', 'werewolves'}",https://www.bookrix.com/_ebook-shannon-coots-the-pack/,https://www.bookrix.com/Books/Download.html?bookID=babyluv_1315334778.2739241123&format=epub
35,Pokemon- Sinnoh Adventures Book 1,Elysia,,Fantasy,1 Words,Ages 0 and up,7967,29,06-16-2011,{'pokemon'},https://www.bookrix.com/_ebook-elysia-pokemon-sinnoh-adventures-book-1/,https://www.bookrix.com/Books/Download.html?bookID=elys411_1308255855.8545548916&format=epub
36,Broken Halo,Ispeak Woods,"Looking back at my life I now see how foolish I was. I'm where I am now because of the choices I've made, and the man I choose to love. Rejection and murder are the least of my worries. My family has deep dark secrets. Sex, Lies and secrets are all I know. What do you do when living in the comfort of a lie is better then confronting the truth. Some times the truth can set you free. Or it can kill you.",Fantasy,29140 Words,Ages 14 and up,7333,226,01-22-2012,{'Werewolf love mate rejection murder lies sex werewolves pack beta alpha male'},https://www.bookrix.com/_ebook-ispeak-woods-broken-halo/,
37,twilight,vampirediaries,twilight comic with bella and edward,Fantasy,2 Words,Ages 0 and up,7194,89,07-23-2010,"{'bella', 'edward'}",https://www.bookrix.com/_ebook-vampirediaries-twilight-1/,https://www.bookrix.com/Books/Download.html?bookID=vampirediaries_1279924130.7141048908&format=epub
38,Strachana,Judy Colella,"They walk among us unseen, unrecognized. They look like us, speak like us, but are not us. Aliens from another planet, then? Ghosts? Inter-dimensional beings? No.

Dragons.",Fantasy,26318 Words,Ages 0 and up,7068,150,08-29-2012,"{'Darastrix', 'dragon-lore', 'shape-shift'}",https://www.bookrix.com/_ebook-judy-colella-strachana/,
39,Hiding In The Harem,Ann Poppet,Miaya was beside her self with anger. Her parents had married her off to a sheik. She has moved into his palace but he had yet to meet her..Nor does he know that she is there....Hidden in his Harem.,Fantasy,570 Words,Ages 16 and up,7040,73,05-29-2011,"{'sex', 'fantasy', 'harem'}",https://www.bookrix.com/_ebook-ann-poppet-hiding-in-the-harem/,https://www.bookrix.com/Books/Download.html?bookID=special.2_1306723411.9581360817&format=epub
40,The Vampire Prince,Lissie,"Since they were twelve, twin girls have been watched by a stranger on their street. As they grow up, he doesn't change at all. He has black eyes and he never moves. He watches the delicate twin more closely than the strong one and returns every year on their birthday to look at them again. Their brother doesn't know, their unforgiving parents don't know, nobody knows about him. And then the twins turn eighteen, and he's there when they come out of school. What does he want, they ask him. He is come to claim one as his bride.",Fantasy,33970 Words,Ages 0 and up,6623,192,10-12-2011,{'vampire prince realm twins girls elara cleo jayce talor brothers immortal... Show more'},https://www.bookrix.com/_ebook-lissie-the-vampire-prince/,https://www.bookrix.com/Books/Download.html?bookID=lissie_1318457787.9923880100&format=epub
41,shh...dont tell,louise stephenson,"seth and luke are new hotties at
richland high and both love playing
with there preys/girls hearts but it
doesnt go so well for seth when he meets
maya. its not going to work cause shes
human and hese not and his brothers going
to make sure they dont get together!",Fantasy,6728 Words,Ages 0 and up,6511,389,04-24-2010,,https://www.bookrix.com/_ebook-louise-stephenson-shh-dont-tell/,https://www.bookrix.com/Books/Download.html?bookID=loulou.babii_1272164164.9610750675&format=epub
42,Embraced by a Heartless Mate,Ceferine Young,"Maya is a werewolf. On her vacation with her sisters to London, she was abducted by a pack of werewolves who mistook her for a rogue. She was tortured and bound by silver chains, making it impossible for her to shift to her wolf form. Then the Alpha arrived. What happens when the alpha of the pack who abducted her is her mate?



“You’re m—“
“Yes, Love, I’m your mate.” He cut in and smiled, his eyes turning from black to beautiful emerald green.

And there… the worst day turned out to be the best day of my life—or so I thought.",Fantasy,6184 Words,Ages 14 and up,6196,162,01-25-2014,"{'love', 'mate', 'rogues', 'hate', 'romance', 'attraction', 'werewolves'}",https://www.bookrix.com/_ebook-ceferine-young-embraced-by-a-heartless-mate-1/,https://www.bookrix.com/Books/Download.html?bookID=gja1d158da53e25_1390653051.1274449825&format=epub
43,Demon Girl,Penelope Fletcher,"Rae Wilder Novels: Book One.

Rae Wilder has problems. Supernatural creatures swarm the earth, and humanity is on the brink of extinction. Stalked by a handsome fairy who claims she is like him, demonkind, Rae thinks maybe it was a mistake breaking the rules by going over the Wall into demon territory. Plunged into a world of dark magics, fierce creatures, and ritual sacrifice, she is charged with a guarding a magical amulet. The changes to her mind and body are startling, but rather than accept her purpose she struggles against who she is destined to be. Throw in a big lust for a vampire who can't keep his hands off her, and life starts to get complicated. Rae is forced to make the ultimate choice: to live and die human, or embrace her birth-right and wield magics that could turn her into something wicked, a force of nature nothing can control.

Young Adult: British English (BrE)",Fantasy,2 Words,Ages 0 and up,6182,362,11-06-2010,"{'Shifter', 'Paranormal', 'Urban', 'Fantasy', 'Vampire', 'Witch', 'Magic', 'Fairy', 'Goblin,... Show more'}",https://www.bookrix.com/_ebook-penelope-fletcher-demon-girl/,https://www.bookrix.com/Books/Download.html?bookID=missfletcher_1289033595.0327520370&format=epub
